,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,dividendspayable,goodwill,grossppe,intangibleassets,longtermdebt,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,prepaidexpenses,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
"(2017, 'Q2')",21681000.0,80922000.0,34681000.0,,33000.0,13941000.0,22653000.0,0.0,62073000.0,,,20247000.0,,120773000.0,,193060000.0,490668000.0,205058000.0,130913000.0,27966000.0,4456000.0,3316000.0,18006000.0,12800000.0,,8823000.0,-198825000.0,37395000.0,653751000.0,-139857000.0,116854000.0,117320000.0,-139857000.0,-8944000.0,662695000.0,653751000.0,331839000.0,545375000.0,0.0,-3138000.0
"(2017, 'Q1')",27071000.0,74694000.0,27656000.0,,42000.0,11820000.0,21472000.0,0.0,61844000.0,,,19026000.0,,119130000.0,,195699000.0,508513000.0,194334000.0,129823000.0,25732000.0,3917000.0,3205000.0,27968000.0,9646000.0,,8428000.0,-198514000.0,22916000.0,645642000.0,-139766000.0,108511000.0,99874000.0,-139766000.0,-9943000.0,655585000.0,645642000.0,342797000.0,555711000.0,0.0,-3138000.0
2016,28185000.0,77496000.0,29323000.0,,10000.0,12686000.0,22241000.0,0.0,61463000.0,,,24895000.0,,119130000.0,,198977000.0,515407000.0,204814000.0,130062000.0,25818000.0,3853000.0,3308000.0,23785000.0,9093000.0,,9568000.0,-197900000.0,20652000.0,659864000.0,-139565000.0,113158000.0,106363000.0,-139565000.0,-9503000.0,669367000.0,659864000.0,341892000.0,563004000.0,0.0,-3138000.0
"(2016, 'Q3')",29982000.0,78013000.0,28397000.0,,-293000.0,13541000.0,19608000.0,0.0,60924000.0,,,23334000.0,,105239000.0,,162326000.0,498885000.0,206596000.0,93326000.0,26098000.0,,3254000.0,22794000.0,7526000.0,,12939000.0,-195766000.0,21445000.0,607515000.0,-138273000.0,110560000.0,106412000.0,-138273000.0,-44947000.0,652462000.0,607515000.0,290359000.0,546050000.0,0.0,-3138000.0
"(2016, 'Q2')",24973000.0,73514000.0,34783000.0,,-465000.0,11524000.0,24319000.0,0.0,60744000.0,,,22753000.0,3253000.0,106129000.0,,164587000.0,509800000.0,204447000.0,94585000.0,23960000.0,2532000.0,,25858000.0,7149000.0,,13191000.0,-197124000.0,21780000.0,614577000.0,-139983000.0,113556000.0,107542000.0,-139983000.0,-45398000.0,659975000.0,614577000.0,296574000.0,552433000.0,0.0,-3138000.0
"(2016, 'Q1')",19824000.0,71918000.0,40087000.0,,-549000.0,9801000.0,42691000.0,0.0,60267000.0,,,20438000.0,3312000.0,104126000.0,,162442000.0,521499000.0,187697000.0,97176000.0,21582000.0,2976000.0,,33705000.0,7013000.0,,12090000.0,-199583000.0,19916000.0,617645000.0,-143003000.0,129675000.0,103577000.0,-143003000.0,-45827000.0,663472000.0,617645000.0,300273000.0,559895000.0,0.0,-3138000.0
2015,20796000.0,73208000.0,36453000.0,,-511000.0,10332000.0,38070000.0,0.0,29405000.0,,,19933000.0,,102782000.0,,162923000.0,540353000.0,177188000.0,95017000.0,23020000.0,3206000.0,3323000.0,32820000.0,6664000.0,,13463000.0,-198393000.0,20406000.0,603660000.0,-172637000.0,127947000.0,100911000.0,-172637000.0,-77620000.0,681280000.0,603660000.0,298525000.0,580369000.0,0.0,-3138000.0
"(2015, 'Q3')",15520000.0,69308000.0,26688000.0,687419000.0,-500000.0,,44848000.0,0.0,28945000.0,16834000.0,41000.0,20041000.0,3271000.0,89817000.0,862640000.0,140962000.0,522401000.0,175221000.0,90134000.0,40892000.0,2299000.0,,33272000.0,6121000.0,7075000.0,13598000.0,-187097000.0,29915000.0,593234000.0,-161790000.0,146887000.0,95476000.0,-161790000.0,-71656000.0,664890000.0,593234000.0,271126000.0,569414000.0,,-3138000.0
"(2015, 'Q2')",15158000.0,66466000.0,30471000.0,685200000.0,-492000.0,,43399000.0,0.0,28522000.0,16834000.0,149000.0,21295000.0,3123000.0,86475000.0,851783000.0,129611000.0,520664000.0,166583000.0,79836000.0,36143000.0,2809000.0,,33514000.0,6502000.0,7454000.0,13271000.0,-194301000.0,22484000.0,566416000.0,-169409000.0,142779000.0,92680000.0,-169409000.0,-89573000.0,655989000.0,566416000.0,257054000.0,563309000.0,,-3138000.0
"(2015, 'Q1')",13841000.0,64577000.0,27863000.0,685734000.0,-479000.0,,31489000.0,0.0,28073000.0,16834000.0,,16890000.0,3132000.0,86474000.0,844596000.0,138495000.0,514888000.0,158862000.0,78972000.0,37936000.0,2569000.0,,32109000.0,6564000.0,7790000.0,12441000.0,-192340000.0,19438000.0,551640000.0,-167884000.0,127910000.0,81164000.0,-167884000.0,-88912000.0,640552000.0,551640000.0,264868000.0,559388000.0,,-3138000.0
2014,12109000.0,62503000.0,26542000.0,696428000.0,-351000.0,6076000.0,33033000.0,0.0,27760000.0,16834000.0,,19808000.0,3154000.0,63864000.0,827638000.0,115930000.0,485701000.0,131210000.0,58340000.0,29747000.0,5686000.0,,33042000.0,6623000.0,8119000.0,12527000.0,-205135000.0,15512000.0,482748000.0,-180864000.0,130583000.0,77125000.0,-180864000.0,-122524000.0,605272000.0,482748000.0,220955000.0,528147000.0,0.0,-3138000.0
"(2014, 'Q3')",11776000.0,64045000.0,22795000.0,670593000.0,-247000.0,,38803000.0,0.0,27582000.0,21849000.0,,16669000.0,3134000.0,56975000.0,822984000.0,96197000.0,486794000.0,152391000.0,44466000.0,36435000.0,2445000.0,,23668000.0,4695000.0,8580000.0,8514000.0,-195982000.0,18488000.0,473467000.0,-171785000.0,135656000.0,72862000.0,-171785000.0,-127319000.0,600786000.0,473467000.0,185420000.0,527924000.0,,-3138000.0
"(2014, 'Q2')",9399000.0,64133000.0,23463000.0,671964000.0,-297000.0,,31317000.0,0.0,27113000.0,21849000.0,,17693000.0,3110000.0,56975000.0,825089000.0,98158000.0,494704000.0,153125000.0,45296000.0,32618000.0,2734000.0,,24122000.0,4826000.0,9047000.0,6625000.0,-199994000.0,13292000.0,468085000.0,-176316000.0,126658000.0,66957000.0,-176316000.0,-131020000.0,599105000.0,468085000.0,188302000.0,532148000.0,,-3138000.0
"(2014, 'Q1')",8358000.0,61726000.0,22735000.0,662584000.0,-62000.0,,29127000.0,0.0,26134000.0,21849000.0,,12852000.0,3107000.0,56975000.0,821994000.0,99841000.0,500584000.0,159410000.0,43205000.0,35515000.0,2374000.0,,18930000.0,4639000.0,9492000.0,5537000.0,-202778000.0,14110000.0,465261000.0,-179844000.0,120613000.0,61162000.0,-179844000.0,-136639000.0,601900000.0,465261000.0,185238000.0,540738000.0,,-3138000.0
2013,11990000.0,63713000.0,22002000.0,654350000.0,-82000.0,,34702000.0,0.0,24045000.0,21849000.0,,21166000.0,1645000.0,56975000.0,824103000.0,101801000.0,514608000.0,169753000.0,47127000.0,35273000.0,2796000.0,,20832000.0,4714000.0,9873000.0,7553000.0,-204709000.0,15066000.0,489847000.0,-183744000.0,130613000.0,71869000.0,-183744000.0,-136617000.0,626464000.0,489847000.0,189481000.0,554595000.0,0.0,-2998000.0
"(2013, 'Q3')",15663000.0,63524000.0,23726000.0,639256000.0,-290000.0,,49069000.0,0.0,23469000.0,17364000.0,,18334000.0,4970000.0,56975000.0,817922000.0,109109000.0,530903000.0,178666000.0,49007000.0,32904000.0,2454000.0,,21300000.0,4950000.0,10033000.0,7139000.0,-200678000.0,15552000.0,515633000.0,-180376000.0,139550000.0,78245000.0,-180376000.0,-131369000.0,647002000.0,515633000.0,197417000.0,568757000.0,,-2877000.0
"(2013, 'Q2')",14460000.0,63810000.0,23363000.0,634129000.0,-444000.0,,47003000.0,0.0,22795000.0,17364000.0,,18969000.0,2507000.0,56493000.0,820545000.0,115359000.0,543231000.0,186416000.0,47986000.0,35900000.0,4235000.0,,18557000.0,5083000.0,11485000.0,7456000.0,-198608000.0,15813000.0,528178000.0,-179134000.0,139868000.0,75112000.0,-179134000.0,-131148000.0,659326000.0,528178000.0,201894000.0,584214000.0,,-2877000.0
"(2013, 'Q1')",15860000.0,63225000.0,23716000.0,628134000.0,-636000.0,,30667000.0,0.0,22437000.0,17364000.0,,14404000.0,8486000.0,56493000.0,826369000.0,123137000.0,531936000.0,198235000.0,46981000.0,42896000.0,3352000.0,,21072000.0,4327000.0,15512000.0,5967000.0,-185644000.0,13138000.0,535024000.0,-166720000.0,120575000.0,75604000.0,-166720000.0,-119739000.0,654763000.0,535024000.0,216214000.0,579159000.0,,-2877000.0
2012,15993000.0,62320000.0,26835000.0,618601000.0,-716000.0,,39977000.0,0.0,22031000.0,17364000.0,,22481000.0,5081000.0,56493000.0,827162000.0,126931000.0,545490000.0,208561000.0,48495000.0,43095000.0,3898000.0,,23022000.0,4314000.0,16497000.0,5078000.0,-183226000.0,13145000.0,560141000.0,-164788000.0,128637000.0,83535000.0,-164788000.0,-116293000.0,676434000.0,560141000.0,222943000.0,592899000.0,,-2877000.0
"(2012, 'Q3')",15578000.0,67806000.0,32605000.0,635095000.0,-798000.0,,79172000.0,0.0,21833000.0,10086000.0,,18469000.0,10054000.0,56493000.0,870357000.0,130606000.0,606546000.0,235262000.0,48324000.0,38033000.0,4157000.0,,31913000.0,776000.0,14596000.0,4952000.0,-178154000.0,24550000.0,635043000.0,-159892000.0,166173000.0,101256000.0,-159892000.0,-111568000.0,746611000.0,635043000.0,233608000.0,645355000.0,,-2773000.0
"(2012, 'Q2')",15961000.0,67877000.0,31053000.0,631209000.0,-858000.0,,61866000.0,0.0,20838000.0,10086000.0,,18998000.0,6261000.0,56493000.0,883484000.0,134595000.0,611803000.0,252275000.0,50542000.0,37690000.0,5097000.0,,29175000.0,826000.0,15534000.0,5522000.0,-176911000.0,25056000.0,638520000.0,-159670000.0,150448000.0,97329000.0,-159670000.0,-109128000.0,747648000.0,638520000.0,235797000.0,650319000.0,,-2739000.0
"(2012, 'Q1')",17129000.0,67699000.0,32318000.0,656393000.0,-895000.0,,60100000.0,0.0,21677000.0,10086000.0,,15592000.0,10250000.0,56493000.0,928559000.0,138562000.0,616728000.0,272166000.0,50452000.0,40345000.0,2937000.0,,20248000.0,819000.0,16419000.0,6214000.0,-176110000.0,25358000.0,650924000.0,-158067000.0,147036000.0,100647000.0,-158067000.0,-107615000.0,758539000.0,650924000.0,231722000.0,657892000.0,,-2739000.0
2011,22417000.0,70701000.0,33438000.0,663038000.0,-950000.0,,44190000.0,0.0,20796000.0,10086000.0,,18204000.0,6582000.0,56493000.0,954337000.0,143024000.0,618560000.0,291299000.0,49260000.0,43002000.0,4301000.0,,19270000.0,879000.0,17268000.0,6462000.0,-171288000.0,24923000.0,663094000.0,-154171000.0,135740000.0,105564000.0,-154171000.0,-104911000.0,768005000.0,663094000.0,236055000.0,662441000.0,,-2729000.0
"(2011, 'Q3')",20548000.0,74445000.0,36167000.0,643009000.0,-973000.0,,40334000.0,0.0,19891000.0,7344000.0,,16173000.0,9502000.0,57863000.0,949514000.0,145853000.0,622678000.0,306505000.0,50285000.0,48264000.0,5938000.0,,27468000.0,1343000.0,18170000.0,7015000.0,-154889000.0,24582000.0,690935000.0,-138607000.0,135076000.0,106972000.0,-138607000.0,-88322000.0,779257000.0,690935000.0,249354000.0,672285000.0,,-2636000.0
"(2011, 'Q2')",23680000.0,72690000.0,37137000.0,626784000.0,-870000.0,,64171000.0,0.0,19207000.0,7344000.0,,16902000.0,5338000.0,202578000.0,943527000.0,163437000.0,656008000.0,316743000.0,54868000.0,74858000.0,5521000.0,,32520000.0,1302000.0,13670000.0,6734000.0,-17619000.0,17148000.0,885408000.0,-1833000.0,156460000.0,100205000.0,-1833000.0,53035000.0,832373000.0,885408000.0,412205000.0,732168000.0,,-2551000.0
2010,15541000.0,62956000.0,37138000.0,591145000.0,-669000.0,,97162000.0,0.0,16587000.0,7344000.0,,17061000.0,5812000.0,193126000.0,902829000.0,94622000.0,643556000.0,311684000.0,11468000.0,72496000.0,3594000.0,,21028000.0,1229000.0,14883000.0,9802000.0,-11176000.0,9709000.0,816201000.0,2191000.0,180858000.0,85261000.0,2191000.0,13659000.0,802542000.0,816201000.0,323659000.0,717281000.0,0.0,-2551000.0
