year,period,nopat,normalizednopat,netnonopex,investedcapital,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,investedcapitalincreasedecrease,freecashflow,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,revenuegrowth,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,nopatmargin,normalizednopatmargin,ebitdamargin,ebitmargin,pretaxincomemargin,profitmargin,sgaextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,investedcapitalturnover,assetturnover,faturnover,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex
2018,Q2,6387800.7,1637300.0,-768199.3,6241438000.0,4485321000.0,2339000.0,97485000.0,99824000.0,88515000.0,4485321000.0,4265151000.0,4346750000.0,6241438000.0,9.5002,9.5002,320229000.0,-313841199.3,6634035900.0,11246961900.0,4.4525,4.4525,8.0964,18.2319,0.034988,0.054849,1.802,13.7262,29.8808,,33.7992,27.9595,897.6428,-0.005293,-0.040292,-0.842598,-0.677649,-0.668566,-0.8,0.003859,-6.293834,0.054082,0.005285,-0.004766,-0.698349,-0.855126,-0.925217,-0.961538,0.282577,-3.772615,0.036978,0.031441,0.008059,0.491344,0.011513,0.012497,0.035223,0.418837,0.988487,2.818432,1.085507,-1.730996,0.1347,0.1286,0.14,2.6461,3.8203,4.147,2.4287,2.5541,0.004236,-0.000174,0.00441,0.011671,0.015907,0.00206,0.00148,0.004529,0.142789,0.013636,0.664477,0.664477,1.178365,0.035276,0.68336,0.718636,0.020027,0.022619,0.238718,11.9166,11.5484,11.3316,13.4792,13.0628,12.8176,0.0469,0.128,-1.7268,-1.6456,2.09,0.3164,-6.2886
2018,Q1,44092249.2,5427800.0,-51597750.8,6018870000.0,4254845000.0,7754000.0,92548000.0,100302000.0,75601000.0,4254845000.0,4176210000.0,4115814000.0,6018870000.0,9.8583,9.8583,109851000.0,-65758750.8,6387155000.0,10721804000.0,4.1336,4.1336,7.7848,16.9468,0.03618,0.059008,1.7814,13.068,28.1719,3195.7687,458.4715,26.6806,,0.006504,0.010426,-0.359121,1.609086,4.577966,6.428571,0.104872,0.570943,0.01859,-0.028926,0.370527,1.259948,4.519598,-0.665641,-0.690476,-0.254697,-1.888147,0.029535,0.218174,0.026857,0.496306,0.038368,0.039476,0.473486,0.432871,0.961632,11.994234,1.028888,-4.686388,0.1376,0.1319,0.1429,2.222,3.3611,3.4582,2.3674,2.412,0.030014,-0.012545,0.042559,0.094567,0.124581,-0.014498,0.00506,0.062442,0.160368,0.104603,0.634862,0.634862,1.075687,0.013065,0.693853,0.706918,0.020768,0.01559,0.256724,11.1797,10.8144,10.9731,181.94,175.995,178.5775,0.1622,0.9225,-1.4195,-0.6592,1.7015,0.1197,-1.3759
2017,Q4,-12527638.3,4236400.0,-298716638.3,5846201000.0,4088911000.0,-29829000.0,103014000.0,73185000.0,91481000.0,4088911000.0,4021751000.0,3946370000.0,5846201000.0,9.8098,9.8098,-86568000.0,74040361.7,6853553160.0,11019069160.0,4.4557,4.4557,8.3666,22.3344,0.033589,0.044774,1.8848,13.4518,29.0319,1431.0479,463.5848,27.9573,99.8672,0.035588,-0.298564,-3.579025,-1.628832,0.61325,0.615385,0.077478,1.349453,-0.014592,0.010277,-0.290038,-3.822044,-1.927265,11.923997,14.272727,0.014835,0.026751,-0.013757,-0.060195,0.020356,0.351653,-0.143328,-0.142886,1.375135,0.423022,1.143328,-9.624004,0.996916,0.580018,0.1391,0.1331,0.1439,2.0953,3.2353,3.2253,2.2886,2.3268,-0.008372,-0.074927,0.066555,0.139451,0.131079,0.018735,-0.019072,0.182986,0.15725,0.110467,0.751328,0.751328,1.19275,0.011488,0.687926,0.699413,0.021381,0.016104,0.263101,10.773,10.3975,10.5961,172.0252,166.0283,169.1997,-0.6064,-0.2547,-2.466,-2.1143,2.2181,0.3584,1.5051
2017,Q3,13510303.9,7399000.0,-8633696.1,5927748000.0,4390522000.0,10570000.0,92513000.0,103083000.0,90235000.0,4390522000.0,4034302000.0,4256926000.0,5927748000.0,8.4751,8.4751,-58601000.0,72111303.9,6878783100.0,11349659100.0,5.1752,5.1752,8.4714,33.2688,0.040774,0.030058,1.9147,13.9774,27.6348,231.1775,163.6435,29.381,88.699,0.021369,0.069703,-0.082306,-0.088375,-0.262751,0.571429,0.078523,1.362498,-0.009789,0.008588,-0.00896,-0.288694,-0.318222,0.025613,0.1,0.034812,0.216364,0.001104,0.065584,0.035917,0.500403,0.051311,0.084985,0.107495,0.437107,0.948689,1.264865,1.656291,-0.278174,0.1363,0.1303,0.1409,2.4354,3.5937,5.9523,2.6244,2.8561,0.00894,-0.002044,0.010984,0.026751,0.035691,0.02148,0.006686,0.014007,0.167513,0.029712,1.05631,1.05631,1.191544,0.060094,0.680579,0.740673,0.021087,0.015006,0.224231,10.6903,10.365,9.823,63.3041,61.3779,58.168,0.2086,0.2666,-1.5719,-1.5138,2.1214,0.341,1.4228
2017,Q2,19816293.5,10402000.0,-1774706.5,5921209000.0,4341573000.0,14860000.0,89155000.0,104015000.0,94237000.0,4341573000.0,4095853000.0,4208192000.0,5921209000.0,8.7388,8.7388,-39468000.0,59284293.5,6734043550.0,11157587550.0,4.9171,4.9171,8.3374,33.5846,0.041225,0.029776,1.8843,13.8142,27.6189,222.96,156.0494,29.4812,100.5475,0.000387,0.060674,-0.14524,-0.136121,-0.912215,-0.929078,0.010602,1.357772,-0.006621,0.017207,0.047831,0.228201,0.172596,0.258584,0.428571,0.411635,1.386813,0.002063,0.097022,0.050929,0.509263,0.072755,0.073735,0.105711,0.428273,0.927245,1.433665,1.013459,-0.333533,0.136,0.1295,0.1437,2.3146,3.4797,3.5265,2.5929,2.7485,0.01319,-0.000428,0.013618,0.031521,0.044712,0.018679,0.009422,0.01369,0.168256,0.037189,1.054793,1.054793,1.102561,0.041498,0.691726,0.733224,0.021111,0.015259,0.231288,10.7469,10.4167,10.1387,60.721,58.8555,57.2844,0.3171,0.4229,-1.694,-1.5882,2.2174,0.2063,1.2652
2017,Q1,16899502.6,8469300.0,-255497.4,5909019000.0,3971036000.0,12099000.0,87168000.0,99267000.0,82151000.0,3971036000.0,3901336000.0,3832413000.0,5909019000.0,9.9719,9.9719,170163000.0,-153263497.4,6952039900.0,11159299900.0,4.4475,4.4475,8.6081,17.1212,0.039571,0.058407,1.8885,13.8176,28.036,212.2831,150.364,29.5709,,0.001751,0.017466,-0.31779,-0.283784,-0.425966,-0.533333,-0.004719,-2.603316,0.029651,-0.000866,-0.048583,0.046083,-0.15172,-0.903297,-0.932692,-0.273176,0.276632,-0.004003,0.084165,0.04218,0.49438,0.060257,0.062573,0.085437,0.44237,0.939743,1.365409,1.038433,-0.396769,0.1387,0.131,0.1433,2.0985,3.2798,3.4059,2.0131,2.0491,0.011671,-6.5e-05,0.011736,0.024627,0.036299,-0.016475,0.007894,0.011193,0.20006,0.029037,0.543121,0.543121,0.89596,0.011796,0.660234,0.67203,0.021154,0.042282,0.264534,9.9766,9.6284,9.8015,53.507,51.6392,52.5679,0.2527,0.3529,-1.463,-1.3628,1.5372,-0.1785,-3.2009
2016,Q4,19922090.8,8096200.0,-157476909.2,5932769000.0,3884602000.0,11566000.0,92770000.0,104336000.0,87322000.0,3884602000.0,3866702000.0,3753452000.0,5932769000.0,10.6713,10.6713,231797000.0,-211874909.2,7107970950.0,11240686950.0,4.2591,4.2591,8.805,17.0136,0.030583,0.058776,1.8947,13.9245,28.3619,193.1257,138.7208,29.759,,0.00794,0.006531,-0.390975,-0.221359,1.353521,1.418605,-0.001764,-19.761324,0.040659,-0.003595,0.082706,0.004167,0.344268,4.906213,13.857143,0.015819,-0.065078,-0.00895,0.099132,0.040287,0.519175,0.057552,0.06019,0.882736,0.4249,0.942448,14.665923,1.045824,-0.72247,0.1388,0.1307,0.1431,1.983,3.1671,3.3122,1.8879,1.8966,0.013758,-0.040725,0.054482,0.108039,0.121796,-0.025919,0.007523,0.115387,0.19688,0.097817,0.521442,0.521442,1.159708,0.003017,0.651753,0.65477,0.021069,0.042858,0.281303,9.8014,9.4705,9.7563,47.9397,46.3212,47.7188,0.2291,0.3946,-1.5006,-1.3351,2.0059,0.2762,-4.1969
2016,Q3,14820030.1,8062600.0,-15215969.9,5986349000.0,4055541000.0,11518000.0,84848000.0,96366000.0,93293000.0,4055541000.0,3760761000.0,3898122000.0,5986349000.0,9.953,9.953,213749000.0,-198928969.9,7186154570.0,11457177570.0,4.6127,4.6127,8.9194,22.2882,0.029828,0.044867,1.9139,14.2205,28.9576,174.5749,131.8556,30.3178,,0.009262,0.017485,-0.340812,-0.447258,0.263663,-0.416667,-0.014327,0.238077,0.037028,-0.012132,-0.017325,-0.337475,-0.35393,-0.877879,-0.950355,-0.030356,-0.200506,0.004307,0.073479,0.039975,0.477793,0.057107,0.059874,0.148922,0.456969,0.942893,2.487247,1.048446,-0.286684,0.137,0.1288,0.1421,2.1211,3.3209,3.4818,1.9478,2.1004,0.010069,-0.003808,0.013877,0.029435,0.039504,-0.021576,0.007355,0.01918,0.203593,0.031462,0.662292,0.662292,1.06858,0.049242,0.628223,0.677465,0.020881,0.041411,0.260243,10.2502,9.8524,9.5052,46.6734,44.8618,43.2809,0.2333,0.3001,-1.6561,-1.5893,2.019,0.1296,-4.0288
2016,Q2,22938747.5,12169500.0,-223014252.5,5960677000.0,3955636000.0,17385000.0,80680000.0,98065000.0,86454000.0,3955638000.0,3795098000.0,3525321000.0,5960679000.0,10.2813,10.2813,188643000.0,-165704252.5,6923978880.0,10842310880.0,4.2952,4.2952,8.6138,20.9549,0.030515,0.047722,1.819,13.4883,27.5188,151.4628,110.2426,28.5811,,0.036997,0.055677,-0.020177,-0.021574,2.580727,2.615385,0.109646,-0.457888,0.032682,0.018594,0.005145,-0.019735,-0.027836,7.229982,8.4,0.390234,-2.733461,0.038652,0.112353,0.059606,0.480318,0.085151,0.10918,1.204666,0.435722,0.914849,11.033736,1.282197,-0.319456,0.137,0.1293,0.1456,1.9999,3.1787,4.0757,1.8928,1.9728,0.015395,-0.057025,0.07242,0.144831,0.160226,-0.015392,0.011011,0.155783,0.212028,0.126253,0.633898,0.633898,1.18921,0.026933,0.636689,0.663622,0.026696,0.039238,0.270444,10.0398,8.9476,9.6323,40.2202,35.8448,38.5879,0.3556,0.4692,-1.4126,-1.299,2.1028,0.3346,-3.3891
2016,Q1,23595555.2,12414500.0,-6289444.8,5738856000.0,3917590000.0,17735000.0,79828000.0,97563000.0,79576000.0,3917590000.0,3811510000.0,3762978000.0,5738856000.0,9.2497,9.2497,-71996000.0,95591555.2,6528812940.0,10669020940.0,4.5212,4.5212,8.1964,38.4398,0.031705,0.026015,1.8591,13.3941,27.4391,148.3003,107.6474,28.8982,62.353,0.041409,0.165572,0.912748,0.590563,-0.713058,-0.741379,0.14388,1.679775,-0.01239,0.005306,-0.058808,-0.066137,-0.077785,-0.603521,-0.651163,-0.271018,10.366882,0.006645,0.117719,0.061936,0.486744,0.08848,0.088864,0.149097,0.441015,0.91152,1.677801,1.004342,-0.330451,0.1379,0.1289,0.1447,2.085,3.3008,3.3151,2.0928,2.151,0.016237,-0.001611,0.017849,0.037215,0.053452,0.02963,0.011406,0.019221,0.225276,0.041411,1.317518,1.317518,0.929338,0.018485,0.664159,0.682643,0.027728,0.038005,0.251624,10.0755,9.6778,9.8026,39.5274,37.9674,38.4571,0.3723,0.4954,-1.2983,-1.1752,1.5525,-0.118,2.0068
2015,Q4,25585730.4,13293700.0,-49790269.6,5700972000.0,3849141000.0,18991000.0,84668000.0,103659000.0,89605000.0,3849141000.0,3822141000.0,3711396000.0,5700972000.0,9.4058,9.4058,35791000.0,-10205269.600000001,6227467100.0,10327429100.0,4.2559,4.2559,7.8971,26.3914,0.032066,0.037891,1.8115,13.0963,27.5423,162.6905,113.6929,28.696,187.6172,0.04111,0.172321,0.444952,0.247227,0.65811,0.653846,0.152348,-1.696303,0.006318,-0.002287,0.094488,0.086877,-0.045731,2.171189,2.583333,0.003035,0.960913,-0.012408,0.128325,0.066675,0.519901,0.095249,0.094026,0.378048,0.451761,0.904751,4.020697,0.987152,-0.347256,0.1388,0.1291,0.1433,2.3609,3.6121,3.5657,2.064,2.0786,0.017806,-0.012472,0.030278,0.071484,0.08929,0.009686,0.012297,0.048809,0.259323,0.066135,0.928668,0.928668,1.132158,0.004736,0.670437,0.675173,0.027912,0.040246,0.256669,10.2653,9.898,10.1933,42.3745,40.8581,42.0773,0.3934,0.53,-1.4627,-1.3261,2.1014,0.2453,-0.2114
2015,Q3,26811861.7,12231100.0,3042861.7,5772600000.0,3935899000.0,17473000.0,77237000.0,94710000.0,104500000.0,3935899000.0,3807699000.0,3797428000.0,5772600000.0,9.2467,9.2467,287900000.0,-261088138.3,5775416160.0,9966981160.0,4.0036,4.0036,7.3977,28.091,0.041475,0.035599,1.7266,12.7667,27.7069,172.9448,116.3666,28.7665,,0.047242,0.170922,0.526293,0.697495,-0.835526,-0.858824,0.135002,-1.487337,0.052491,0.015014,0.01956,-0.015217,0.14363,-0.653957,-0.692308,0.0916,-1.297088,9.8e-05,0.134167,0.061205,0.473932,0.087435,0.077512,0.118941,0.443462,0.912565,1.534474,0.886511,-0.534474,0.1387,0.1285,0.1445,2.3512,3.6185,3.2078,2.0731,2.1429,0.018609,0.000771,0.017839,0.041943,0.060552,-0.035932,0.011232,0.015279,0.260325,0.044789,0.992477,0.992477,0.967847,0.022208,0.659616,0.681824,0.027566,0.040711,0.249898,10.9413,10.5564,10.5849,45.9525,44.3358,44.4557,0.3619,0.5553,-1.8024,-1.6089,2.0946,-0.0696,-5.4072
2015,Q2,23444531.1,12420100.0,-45243468.9,5772034000.0,3866007000.0,17743000.0,75150000.0,92893000.0,101333000.0,3866007000.0,3818487000.0,3730089000.0,5772034000.0,9.4245,9.4245,137105000.0,-113660468.9,5759381220.0,9925713220.0,3.9185,3.9185,7.4634,18.5115,0.049069,0.05402,1.7196,12.8624,28.695,192.3364,132.9009,29.6778,,0.019971,0.108429,0.43008,0.326516,-0.188133,-0.235294,0.035484,-1.307745,0.024331,0.022928,0.10978,0.913611,0.580383,-0.34049,-0.327586,0.433126,0.191732,-0.00668,0.119078,0.063084,0.471818,0.09012,0.091897,0.348877,0.44661,0.90988,3.796385,1.019726,-0.32134,0.1353,0.1261,0.1425,2.4206,3.6693,3.7417,2.0034,2.0283,0.016111,-0.01121,0.027321,0.066134,0.082246,-0.010944,0.011367,0.044004,0.273182,0.059778,0.647512,0.647512,0.914342,0.008233,0.66155,0.669782,0.027568,0.04801,0.254639,11.1765,10.7836,11.0392,51.7641,49.9442,51.1278,0.3577,0.4726,-1.6851,-1.5702,1.8678,-0.175,-2.2913
2015,Q1,14834717.8,6490400.0,-89315282.2,5810852000.0,3888284000.0,9272000.0,74432000.0,83704000.0,71742000.0,3888284000.0,3888284000.0,3628366000.0,5810852000.0,9.4402,9.4402,155457000.0,-140622282.2,6072342720.0,10166875720.0,4.1694,4.1694,7.9084,18.6652,0.045278,0.053576,1.7496,13.241,30.1852,219.7293,147.7371,30.6902,,-0.012514,0.026212,-0.176481,0.015768,0.277413,0.318182,0.179741,-1.538167,0.027488,0.005018,-0.053358,-0.294529,-0.276852,1.291075,1.230769,-0.265622,-36.153385,0.025713,0.077075,0.033722,0.434894,0.048174,0.059937,0.541123,0.49614,0.951826,9.028259,1.244176,-0.599948,0.1339,0.1249,0.1415,2.6022,3.8637,4.8071,2.0224,2.0224,0.010323,-0.021566,0.031888,0.082979,0.093302,-0.015112,0.006015,0.067567,0.251876,0.069801,0.524209,0.524209,0.90116,0.0,0.669142,0.669142,0.027384,0.052839,0.250635,11.5442,10.7725,11.5442,56.5015,52.7246,56.5015,0.1732,0.2772,-1.1672,-1.0633,1.208,-0.1325,-2.6275
2014,Q4,20514088.3,8211000.0,-24944911.7,5665181000.0,4135139000.0,13143000.0,75279000.0,88422000.0,90110000.0,4135139000.0,4022809000.0,4014723000.0,5665181000.0,7.1342,7.1342,24299000.0,-3784911.6999999993,5423974300.0,9927130300.0,5.2073,5.2073,7.0417,18.0667,0.047117,0.055351,1.7523,12.8879,29.6616,205.7138,144.5957,30.8848,223.8088,-0.01703,-0.042627,-0.232391,0.102199,-0.694091,-0.690476,0.136331,-1.14697,0.004308,0.00359,0.093182,0.148061,0.298775,-0.685437,-0.694118,-0.012064,-1.007065,0.032906,0.107118,0.042875,0.461712,0.068629,0.064587,0.237373,0.441995,0.931371,3.675236,0.941109,-0.560838,0.1363,0.1265,0.1418,3.0629,4.3757,4.118,2.6292,2.7026,0.014596,-0.005853,0.020449,0.062634,0.07723,0.007846,0.008683,0.030032,0.302503,0.053867,0.587028,0.587028,0.976973,0.019828,0.710094,0.729922,0.032854,0.053362,0.183862,12.3555,11.9957,12.0199,60.2312,58.4773,58.5951,0.251,0.3918,-1.47,-1.3292,1.6814,-0.0396,-0.0723
