year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
2018,Q2,-338100000.0,12000000.0,28900000.0,37900000.0,104200000.0,-68200000.0,308700000.0,15400000.0,1440000000.0,132100000.0,-358800000.0,530900000.0,,132100000.0,-358800000.0,530900000.0,236000000.0,123700000.0,123700000.0,,-17700000.0,-29300000.0,-74800000.0,700000.0,-31600000.0,-1219200000.0,,10200000.0
2018,Q1,-57300000.0,9900000.0,11600000.0,28000000.0,98800000.0,38700000.0,-607400000.0,32300000.0,815000000.0,69500000.0,-86900000.0,-217600000.0,,69500000.0,-86900000.0,-217600000.0,-196300000.0,286000000.0,286000000.0,,-4900000.0,-15100000.0,-76100000.0,-700000.0,-31100000.0,-675300000.0,-11300000.0,2200000.0
2017,Q4,-376100000.0,8100000.0,6800000.0,34500000.0,96600000.0,45100000.0,344000000.0,10200000.0,702600000.0,-1200000.0,-91000000.0,395100000.0,,-1200000.0,-91000000.0,395100000.0,348000000.0,113200000.0,113200000.0,,-166800000.0,-20300000.0,-71100000.0,320200000.0,-35400000.0,-605000000.0,-17600000.0,300000.0
2017,Q3,214100000.0,8500000.0,10200000.0,28400000.0,100100000.0,-7900000.0,-115600000.0,15300000.0,1229000000.0,-165600000.0,-136600000.0,198200000.0,,-165600000.0,-136600000.0,198200000.0,-111900000.0,65700000.0,65700000.0,,139500000.0,-15200000.0,-70000000.0,-322800000.0,-28200000.0,-1324700000.0,,300000.0
2017,Q2,-77000000.0,10700000.0,26600000.0,31800000.0,95300000.0,15600000.0,66400000.0,14600000.0,1405000000.0,99100000.0,-113200000.0,245400000.0,,99100000.0,-113200000.0,245400000.0,246900000.0,78300000.0,78300000.0,,-5300000.0,-14800000.0,-70200000.0,-1100000.0,-36300000.0,-1235500000.0,,1200000.0
2017,Q1,-137100000.0,6200000.0,12200000.0,30100000.0,93800000.0,19200000.0,-321600000.0,20300000.0,955000000.0,19900000.0,-170200000.0,15500000.0,,19900000.0,-170200000.0,15500000.0,-115600000.0,242000000.0,242000000.0,,-4900000.0,-18200000.0,-71400000.0,-5200000.0,-29300000.0,-865800000.0,,1400000.0
2016,Q4,-243400000.0,6900000.0,13900000.0,30300000.0,89300000.0,-101000000.0,51000000.0,10500000.0,1220500000.0,-1500000.0,-184500000.0,280700000.0,,-1500000.0,-184500000.0,280700000.0,-6300000.0,101000000.0,101000000.0,,32500000.0,-12800000.0,-67900000.0,137400000.0,-79000000.0,-1151800000.0,,500000.0
2016,Q3,,7000000.0,13100000.0,28300000.0,88900000.0,-1800000.0,21200000.0,17600000.0,597000000.0,-25500000.0,-91500000.0,239500000.0,,-25500000.0,-91500000.0,239500000.0,120700000.0,130400000.0,130400000.0,,-8000000.0,-26800000.0,-67900000.0,-60000000.0,-35700000.0,-545400000.0,,4200000.0
2016,Q2,,8900000.0,25300000.0,25200000.0,88600000.0,-2900000.0,-183300000.0,16600000.0,966500000.0,57300000.0,-98100000.0,29400000.0,,57300000.0,-98100000.0,29400000.0,-14300000.0,155700000.0,155700000.0,,-40500000.0,-31000000.0,-67500000.0,-58300000.0,-41200000.0,-756700000.0,-70600000.0,1400000.0
2016,Q1,,5700000.0,13800000.0,29000000.0,84000000.0,-1900000.0,-48800000.0,7400000.0,332000000.0,-41900000.0,-111200000.0,100000000.0,,-41900000.0,-111200000.0,100000000.0,-55000000.0,57900000.0,57900000.0,,1200000.0,-16700000.0,-68900000.0,-51000000.0,-61900000.0,-265300000.0,-30400000.0,1700000.0
2015,Q4,-249600000.0,5900000.0,22500000.0,22900000.0,93800000.0,-62800000.0,44600000.0,2200000.0,334500000.0,-32900000.0,-108700000.0,359600000.0,,-32900000.0,-108700000.0,359600000.0,155200000.0,68200000.0,68200000.0,,147100000.0,-31600000.0,-65000000.0,167600000.0,-27200000.0,-273000000.0,,500000.0
2015,Q3,,5500000.0,7400000.0,28900000.0,81900000.0,-9700000.0,122000000.0,9400000.0,275400000.0,-35600000.0,-144700000.0,238000000.0,,-35600000.0,-144700000.0,238000000.0,48000000.0,140900000.0,140900000.0,,-112300000.0,-11200000.0,-65800000.0,-122700000.0,-26300000.0,-243400000.0,,4300000.0
2015,Q2,,7100000.0,35500000.0,23300000.0,82300000.0,3700000.0,-251700000.0,174800000.0,246000000.0,141200000.0,-75200000.0,-24800000.0,,141200000.0,-75200000.0,-24800000.0,44900000.0,147600000.0,147600000.0,,-10100000.0,-8300000.0,-64000000.0,-51100000.0,-27700000.0,-207300000.0,,3600000.0
2015,Q1,,4200000.0,12900000.0,28800000.0,76200000.0,-6200000.0,82500000.0,22200000.0,17000000.0,-104400000.0,-40300000.0,113300000.0,,-104400000.0,-40300000.0,113300000.0,-37600000.0,32400000.0,32400000.0,,-82000000.0,-10600000.0,-62700000.0,-23300000.0,-17800000.0,-70300000.0,,800000.0
2014,Q4,,5600000.0,21300000.0,22800000.0,73600000.0,13800000.0,152200000.0,36600000.0,163700000.0,-67300000.0,-101000000.0,178400000.0,,-67300000.0,-101000000.0,178400000.0,23900000.0,75600000.0,75600000.0,,-128600000.0,-9300000.0,-58800000.0,-84300000.0,-21800000.0,-199500000.0,,5100000.0
2014,Q3,,6100000.0,17900000.0,31900000.0,72900000.0,-4800000.0,-92000000.0,11600000.0,-55700000.0,-264300000.0,-449300000.0,35400000.0,,-264300000.0,-449300000.0,35400000.0,-683000000.0,93600000.0,93600000.0,,-45200000.0,-9000000.0,-58200000.0,-432100000.0,-17600000.0,-153000000.0,,400000.0
2014,Q2,,6400000.0,18500000.0,8300000.0,59500000.0,18900000.0,-48700000.0,933800000.0,1342000000.0,1493600000.0,-1416900000.0,138700000.0,,1493600000.0,-1416900000.0,138700000.0,234300000.0,109000000.0,109000000.0,,12500000.0,-8000000.0,-56800000.0,-1395300000.0,-22300000.0,-717400000.0,,700000.0
2014,Q1,,4800000.0,15200000.0,19500000.0,52900000.0,0.0,-3800000.0,21900000.0,967400000.0,401500000.0,-44500000.0,84100000.0,,401500000.0,-44500000.0,84100000.0,441100000.0,49300000.0,49300000.0,,-19100000.0,-8000000.0,-49300000.0,-26700000.0,-19800000.0,-530500000.0,,2000000.0
2013,Q4,,8400000.0,12100000.0,8800000.0,50300000.0,-200000.0,-58300000.0,12900000.0,445000000.0,338700000.0,-421200000.0,93900000.0,,338700000.0,-421200000.0,93900000.0,11200000.0,60000000.0,60000000.0,,33500000.0,-22600000.0,-46600000.0,-399600000.0,-23800000.0,-50000000.0,,2200000.0
2013,Q3,,4900000.0,13400000.0,17100000.0,45100000.0,3200000.0,84000000.0,14500000.0,217500000.0,104100000.0,-265200000.0,204800000.0,,104100000.0,-265200000.0,204800000.0,46900000.0,74600000.0,74600000.0,,-3800000.0,,-45900000.0,-231700000.0,-33900000.0,-82000000.0,,400000.0
2013,Q2,,3500000.0,13900000.0,5700000.0,42800000.0,-3500000.0,-114100000.0,25300000.0,410000000.0,129400000.0,-132500000.0,22600000.0,,129400000.0,-132500000.0,22600000.0,16000000.0,93500000.0,93500000.0,,-3100000.0,,-45900000.0,-108400000.0,-26600000.0,-260000000.0,,2500000.0
2013,Q1,,2200000.0,9800000.0,17600000.0,40400000.0,-4300000.0,-15300000.0,31000000.0,18000000.0,-92200000.0,-32800000.0,51200000.0,,-92200000.0,-32800000.0,51200000.0,-78100000.0,40500000.0,40500000.0,,-16600000.0,,-44200000.0,-23900000.0,-9300000.0,-97000000.0,,400000.0
2012,Q4,,1900000.0,23000000.0,4200000.0,36700000.0,100000.0,78800000.0,18200000.0,141000000.0,61000000.0,-227800000.0,163600000.0,,61000000.0,-227800000.0,163600000.0,-3100000.0,33500000.0,33500000.0,,12700000.0,,-84700000.0,-206200000.0,-14900000.0,-12000000.0,-1500000.0,-6700000.0
2012,Q3,,2000000.0,12300000.0,16600000.0,36500000.0,4100000.0,20900000.0,13800000.0,50000000.0,-25300000.0,-72100000.0,116400000.0,,-25300000.0,-72100000.0,116400000.0,23100000.0,61700000.0,61700000.0,,-4700000.0,,-41100000.0,-60800000.0,-9500000.0,-48000000.0,,-1800000.0
2012,Q2,,2700000.0,7300000.0,5000000.0,36400000.0,-2800000.0,-5500000.0,24100000.0,5000000.0,-59500000.0,-70000000.0,112600000.0,,-59500000.0,-70000000.0,112600000.0,-19700000.0,71700000.0,71700000.0,,7300000.0,,-39800000.0,-59900000.0,-13600000.0,-49000000.0,200000.0,3500000.0
2012,Q1,,1700000.0,4900000.0,16400000.0,30800000.0,2800000.0,-104700000.0,26700000.0,157000000.0,69700000.0,-12300000.0,-49600000.0,,69700000.0,-12300000.0,-49600000.0,10600000.0,28100000.0,28100000.0,,-5500000.0,,-38800000.0,-17200000.0,-13000000.0,-75000000.0,-200000.0,17900000.0
2011,Q4,,1500000.0,1000000.0,4600000.0,33900000.0,1200000.0,21200000.0,20600000.0,49000000.0,-6700000.0,-43100000.0,98400000.0,,-6700000.0,-43100000.0,98400000.0,49800000.0,40500000.0,40500000.0,,1300000.0,,-37200000.0,-33800000.0,-10600000.0,-39000000.0,-100000.0,1300000.0
2011,Q3,,1500000.0,9800000.0,16400000.0,29400000.0,-4100000.0,15200000.0,8300000.0,17000000.0,-63700000.0,-43300000.0,89300000.0,,-63700000.0,-43300000.0,89300000.0,-21800000.0,46700000.0,46700000.0,,-3500000.0,,-37000000.0,-31000000.0,-13000000.0,-52000000.0,,700000.0
2011,Q2,,2200000.0,13400000.0,4200000.0,27400000.0,5900000.0,27500000.0,20700000.0,85000000.0,18000000.0,-198600000.0,104700000.0,,18000000.0,-198600000.0,104700000.0,-70000000.0,41700000.0,41700000.0,,5900000.0,,-36900000.0,-195400000.0,-14000000.0,-50000000.0,-800000.0,10800000.0
2011,Q1,,1600000.0,7800000.0,13200000.0,24500000.0,,-51000000.0,28000000.0,125000000.0,118000000.0,-26200000.0,-8400000.0,,118000000.0,-26200000.0,-8400000.0,83400000.0,15200000.0,15200000.0,,1300000.0,,-34700000.0,-19100000.0,-8300000.0,,-300000.0,1200000.0
2010,Q4,,,16400000.0,4500000.0,,3200000.0,,10600000.0,,-23400000.0,-43400000.0,17800000.0,,-23400000.0,-43400000.0,17100000.0,-46500000.0,0.0,,0.0,-700000.0,,-33800000.0,-35900000.0,-7000000.0,,-200000.0,-500000.0
2010,Q3,,,8400000.0,12900000.0,,,,2000000.0,,-32100000.0,-24400000.0,122800000.0,,-32100000.0,-24400000.0,122800000.0,66300000.0,0.0,,0.0,,,-33800000.0,-19200000.0,-5100000.0,,-300000.0,-100000.0
2010,Q2,,1900000.0,8900000.0,4500000.0,24600000.0,,21900000.0,12400000.0,13000000.0,-55800000.0,-27400000.0,87100000.0,-1000000.0,-55800000.0,-27400000.0,86100000.0,2900000.0,41900000.0,41900000.0,,-3200000.0,,-33100000.0,-20700000.0,-7000000.0,-48000000.0,-100000.0,300000.0
2010,Q1,,1400000.0,3900000.0,12800000.0,21600000.0,,-46200000.0,13100000.0,35000000.0,15100000.0,2600000.0,3500000.0,,15100000.0,2600000.0,3500000.0,21200000.0,29200000.0,29200000.0,,-2500000.0,,-32800000.0,-4300000.0,-6000000.0,,-200000.0,12900000.0
2009,Q4,,0.0,4600000.0,400000.0,0.0,,0.0,1700000.0,172000000.0,-11900000.0,-36000000.0,15900000.0,,-11900000.0,-36000000.0,15900000.0,-32000000.0,19400000.0,19400000.0,,-3500000.0,,-32600000.0,-31000000.0,-5900000.0,-153000000.0,,900000.0
2009,Q3,,1400000.0,7700000.0,13200000.0,21500000.0,,47200000.0,2100000.0,27000000.0,-92700000.0,-13500000.0,118000000.0,,-92700000.0,-13500000.0,118000000.0,11800000.0,41600000.0,41600000.0,,6300000.0,,-32400000.0,-9100000.0,-4100000.0,-89000000.0,-400000.0,-300000.0
