year,period,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,netincomediscontinued,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
2018,Q2,,2300000.0,15100000.0,7800000.0,17700000.0,,73400000.0,400000.0,,-5300000.0,-32700000.0,119900000.0,,-5300000.0,-32700000.0,119900000.0,81900000.0,34800000.0,34800000.0,,-8300000.0,,,-44700000.0,-8100000.0,-5200000.0,-500000.0,20100000.0,
2018,Q1,0.0,2100000.0,100000.0,4100000.0,17700000.0,,-80900000.0,2100000.0,,-4600000.0,-2200000.0,-95400000.0,,-4600000.0,-2200000.0,-95400000.0,-102200000.0,14000000.0,14000000.0,,-48300000.0,,1900000.0,,-4100000.0,-5100000.0,-1600000.0,,
2017,Q4,,2200000.0,300000.0,7000000.0,18600000.0,,205800000.0,,,-5500000.0,-38900000.0,186900000.0,,-5500000.0,-38900000.0,186900000.0,142500000.0,-52000000.0,-52000000.0,,12300000.0,,,-24000000.0,-18900000.0,-5000000.0,-500000.0,4000000.0,
2017,Q3,-2000000.0,2100000.0,2200000.0,3800000.0,18600000.0,,-75200000.0,2100000.0,,-2900000.0,-6400000.0,-11800000.0,,-2900000.0,-6400000.0,-11800000.0,-21100000.0,12600000.0,12600000.0,,30100000.0,,,,-4400000.0,-5000000.0,,,
2017,Q2,,2100000.0,500000.0,7400000.0,19100000.0,,23600000.0,100000.0,,-5900000.0,-3400000.0,40800000.0,,-5900000.0,-3400000.0,40800000.0,31500000.0,24300000.0,24300000.0,,-28300000.0,,,,-3400000.0,-5000000.0,-1000000.0,,
2017,Q1,-15000000.0,2100000.0,0.0,4000000.0,16300000.0,,-28200000.0,2300000.0,,-7400000.0,-17700000.0,-3100000.0,,-7400000.0,-17700000.0,-3100000.0,-28200000.0,5900000.0,5900000.0,,800000.0,,0.0,,-2700000.0,-5000000.0,-4700000.0,,
2016,Q4,,600000.0,700000.0,3800000.0,19000000.0,500000.0,49600000.0,1200000.0,300000000.0,188600000.0,-17100000.0,109500000.0,,188600000.0,-17100000.0,109500000.0,281000000.0,18100000.0,18100000.0,,22200000.0,,,,-17100000.0,-111100000.0,-1500000.0,,-500000.0
2016,Q3,,400000.0,2800000.0,14500000.0,15400000.0,,-10500000.0,1500000.0,400000000.0,-89000000.0,-10500000.0,45100000.0,,-89000000.0,-10500000.0,45100000.0,-54400000.0,-11100000.0,-11100000.0,,50900000.0,,,,-11000000.0,-489600000.0,-900000.0,,500000.0
2016,Q2,,700000.0,15000000.0,3000000.0,15400000.0,,3300000.0,,100000000.0,4200000.0,-11800000.0,35800000.0,,4200000.0,-11800000.0,35800000.0,28200000.0,5900000.0,5900000.0,,10500000.0,,,,-11800000.0,-95000000.0,-800000.0,,
2016,Q1,0.0,600000.0,12700000.0,17700000.0,15100000.0,,-62100000.0,1500000.0,,-13600000.0,-7700000.0,-31700000.0,,-13600000.0,-7700000.0,-31700000.0,-53000000.0,5100000.0,5100000.0,,9600000.0,,,,-7700000.0,-14400000.0,-700000.0,,
2015,Q4,,700000.0,800000.0,18400000.0,16600000.0,1000000.0,-27300000.0,,,-11400000.0,-17900000.0,-2900000.0,,-11400000.0,-17900000.0,-2900000.0,-32200000.0,7700000.0,8500000.0,-800000.0,-1400000.0,-2000000.0,,,-18900000.0,-9200000.0,-200000.0,,
2015,Q3,,600000.0,16900000.0,5000000.0,16100000.0,,16800000.0,1300000.0,,-43800000.0,-8500000.0,42100000.0,,-43800000.0,-8500000.0,42100000.0,-10200000.0,-37900000.0,-38500000.0,600000.0,47100000.0,500000.0,,,-8500000.0,-43500000.0,-2100000.0,,
2015,Q2,,700000.0,4900000.0,19700000.0,16100000.0,,11100000.0,,,-21100000.0,-5100000.0,64000000.0,,-21100000.0,-5100000.0,64000000.0,37800000.0,17300000.0,17300000.0,,18800000.0,100000.0,,,-5100000.0,-19200000.0,-2000000.0,,
2015,Q1,,700000.0,5300000.0,6200000.0,16300000.0,,-68500000.0,0.0,,-10300000.0,-4300000.0,-35600000.0,,-10300000.0,-4300000.0,-35600000.0,-50200000.0,-3300000.0,-3500000.0,200000.0,19400000.0,1400000.0,,,-4300000.0,-9300000.0,-2400000.0,,
2014,Q4,200000.0,900000.0,300000.0,19100000.0,17300000.0,7700000.0,95300000.0,-66200000.0,-169200000.0,-472700000.0,-67400000.0,118500000.0,-2000000.0,-472700000.0,-67400000.0,116500000.0,-423600000.0,13100000.0,13200000.0,-100000.0,-8200000.0,-200000.0,,,-43400000.0,-170500000.0,-66600000.0,,-31900000.0
2014,Q3,-200000.0,900000.0,2900000.0,4100000.0,15800000.0,,28500000.0,66400000.0,179200000.0,462200000.0,50200000.0,56400000.0,,462200000.0,50200000.0,56400000.0,568800000.0,-9900000.0,-10100000.0,200000.0,21300000.0,200000.0,,,18500000.0,149900000.0,66500000.0,,31900000.0
2014,Q2,,900000.0,800000.0,18600000.0,15700000.0,,-16100000.0,,179000000.0,-17200000.0,-9200000.0,3100000.0,-100000.0,-17200000.0,-9200000.0,3000000.0,-23400000.0,-50900000.0,-50100000.0,-800000.0,52700000.0,200000.0,,,-9200000.0,-139900000.0,-56500000.0,,
2014,Q1,,900000.0,900000.0,5100000.0,14900000.0,,-50800000.0,,,-18900000.0,-9300000.0,-25300000.0,,-18900000.0,-9300000.0,-25300000.0,-53500000.0,-2300000.0,-2300000.0,0.0,12000000.0,1100000.0,,,-9300000.0,-10000000.0,-10000000.0,,
2013,Q4,,900000.0,2100000.0,17700000.0,16900000.0,,20400000.0,400000.0,,-10700000.0,-24500000.0,50900000.0,,-10700000.0,-24500000.0,50900000.0,15700000.0,-8700000.0,-9100000.0,400000.0,21800000.0,100000.0,,,-24500000.0,-11000000.0,-200000.0,,
2013,Q3,-411200000.0,900000.0,1400000.0,5300000.0,15200000.0,,-225600000.0,200000.0,,-2100000.0,41800000.0,7600000.0,,-2100000.0,41800000.0,7600000.0,47300000.0,197400000.0,197600000.0,-200000.0,19500000.0,,,,-17000000.0,-2300000.0,,470000000.0,
2013,Q2,,900000.0,4600000.0,5400000.0,5300000.0,,-3100000.0,,,-1500000.0,-16600000.0,12000000.0,,-1500000.0,-16600000.0,12000000.0,-6100000.0,-11800000.0,-11700000.0,-100000.0,20600000.0,,-4000000.0,,-12600000.0,-1500000.0,,,
2013,Q1,,1800000.0,300000.0,5300000.0,6100000.0,,-4600000.0,100000.0,460000000.0,447300000.0,-475600000.0,7000000.0,-100000.0,447300000.0,-475600000.0,6900000.0,-21400000.0,-14000000.0,-14100000.0,100000.0,17800000.0,100000.0,-466000000.0,-500000.0,-9100000.0,-12900000.0,,,
2012,Q4,,1000000.0,5200000.0,1200000.0,6200000.0,,11500000.0,900000.0,,1600000.0,-18400000.0,25100000.0,-1900000.0,1600000.0,-18400000.0,23200000.0,6400000.0,2800000.0,-700000.0,3500000.0,7100000.0,2200000.0,,,-18400000.0,-1500000.0,,,
2012,Q3,,700000.0,,5200000.0,5300000.0,,2000000.0,100000.0,,-700000.0,-9500000.0,15800000.0,-100000.0,-700000.0,-9500000.0,15700000.0,5500000.0,-9500000.0,-8700000.0,-800000.0,16500000.0,800000.0,,,-9500000.0,-1600000.0,,,
2012,Q2,,600000.0,,12100000.0,5500000.0,,14400000.0,,,-75400000.0,-5100000.0,29300000.0,,-75400000.0,-5100000.0,29300000.0,-51200000.0,1700000.0,1300000.0,400000.0,7500000.0,600000.0,,,-5700000.0,-76000000.0,,,600000.0
2012,Q1,,600000.0,,,5300000.0,,-3200000.0,,,-1000000.0,-3600000.0,18100000.0,-100000.0,-1000000.0,-3600000.0,18000000.0,13400000.0,2400000.0,2400000.0,,13000000.0,-300000.0,,,-3600000.0,-700000.0,,,
2011,Q4,,1600000.0,3900000.0,2000000.0,6400000.0,,17100000.0,,,-67200000.0,-8900000.0,26300000.0,100000.0,-67200000.0,-8900000.0,26400000.0,-49700000.0,500000.0,-800000.0,1300000.0,2000000.0,-500000.0,,,-8900000.0,-66700000.0,,,
2011,Q3,,1700000.0,,9100000.0,6700000.0,,-4100000.0,,,-800000.0,9500000.0,18300000.0,-100000.0,-800000.0,9500000.0,18200000.0,26900000.0,1200000.0,1300000.0,-100000.0,12700000.0,-600000.0,,,-5500000.0,-200000.0,,15000000.0,
2011,Q2,,1700000.0,,11300000.0,5800000.0,,-16000000.0,,,-700000.0,-14700000.0,14800000.0,-200000.0,-700000.0,-14700000.0,14600000.0,-800000.0,,500000.0,-500000.0,22800000.0,-500000.0,,-15000000.0,-4700000.0,-200000.0,,5000000.0,
2011,Q1,,1700000.0,,,5700000.0,,4500000.0,,,-7200000.0,19700000.0,17700000.0,-100000.0,-7200000.0,19700000.0,17600000.0,30100000.0,1200000.0,1900000.0,-700000.0,3900000.0,,,,-2000000.0,-7200000.0,,21700000.0,
2010,Q4,,2000000.0,3500000.0,23600000.0,8700000.0,,-29700000.0,,,-27200000.0,24800000.0,20500000.0,-300000.0,-27200000.0,24800000.0,20200000.0,17800000.0,-600000.0,-500000.0,-100000.0,40000000.0,-200000.0,,-20000000.0,-6900000.0,-27000000.0,,51700000.0,
