,accountspayable,accountsreceivable,accruedexpenses,aoci,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,netppe,noncurrentdeferredrevenue,otherequity,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
"(2018, 'Q2')",4795000.0,132000.0,81012000.0,-459000.0,,163526000.0,0.0,594677000.0,78613000.0,3726000.0,83368000.0,,2638000.0,69000.0,5162000.0,,-428294000.0,,238597000.0,413781000.0,165924000.0,407417000.0,164420000.0,165924000.0,165924000.0,247857000.0,413781000.0,2638000.0,83437000.0,0.0,
"(2018, 'Q1')",17880000.0,35852000.0,54947000.0,-550000.0,,158171000.0,0.0,591872000.0,78592000.0,3714000.0,94176000.0,,2018000.0,21000.0,8100000.0,,-394225000.0,,234858000.0,442713000.0,197097000.0,436981000.0,151419000.0,197097000.0,197097000.0,245616000.0,442713000.0,2018000.0,94197000.0,0.0,
2017,6998000.0,34216000.0,52441000.0,-442000.0,,70156000.0,0.0,493823000.0,81667000.0,3617000.0,100545000.0,,2274000.0,22000.0,6348000.0,,-370807000.0,,247636000.0,364247000.0,122574000.0,358356000.0,141106000.0,122574000.0,122574000.0,241673000.0,364247000.0,2274000.0,100567000.0,0.0,
"(2017, 'Q3')",8705000.0,281000.0,21427000.0,-181000.0,,89599000.0,0.0,486386000.0,121225000.0,3364000.0,87334000.0,,1287000.0,23000.0,3952000.0,,-386330000.0,,240106000.0,338589000.0,99875000.0,333938000.0,151357000.0,99875000.0,99875000.0,238714000.0,338589000.0,1287000.0,87357000.0,0.0,
"(2017, 'Q2')",10212000.0,,28851000.0,-254000.0,,125390000.0,0.0,420448000.0,142528000.0,2934000.0,98209000.0,,1499000.0,24000.0,11174000.0,,-363196000.0,,195825000.0,336822000.0,56998000.0,332389000.0,181591000.0,56998000.0,56998000.0,279824000.0,336822000.0,1499000.0,98233000.0,0.0,
"(2017, 'Q1')",15083000.0,,34272000.0,-179000.0,,87250000.0,0.0,372475000.0,84108000.0,2904000.0,95150000.0,,1299000.0,26000.0,3248000.0,,-341679000.0,,164555000.0,259256000.0,30617000.0,255053000.0,133463000.0,30617000.0,30617000.0,228639000.0,259256000.0,1299000.0,95176000.0,0.0,
2016,2039000.0,33823000.0,30261000.0,-42000.0,,187335000.0,0.0,365298000.0,81968000.0,2612000.0,117801000.0,,1283000.0,27000.0,2155000.0,,-297136000.0,,73008000.0,300216000.0,68120000.0,296321000.0,114268000.0,68120000.0,68120000.0,232096000.0,300216000.0,1283000.0,117828000.0,0.0,
"(2016, 'Q3')",8524000.0,,17615000.0,-7000.0,,65830000.0,0.0,359991000.0,,2688000.0,42262000.0,,1283000.0,7000.0,3825000.0,,-259274000.0,,95492000.0,169118000.0,100710000.0,165147000.0,26139000.0,100710000.0,100710000.0,68408000.0,169118000.0,1283000.0,42269000.0,0.0,
"(2016, 'Q2')",5143000.0,,15789000.0,37000.0,,46177000.0,0.0,356217000.0,,1832000.0,41406000.0,,1281000.0,9000.0,3873000.0,,-222966000.0,,142472000.0,195635000.0,133288000.0,192522000.0,20932000.0,133288000.0,133288000.0,62347000.0,195635000.0,1281000.0,41415000.0,0.0,
"(2016, 'Q1')",2415000.0,,10994000.0,-27000.0,,43439000.0,0.0,355138000.0,,629000.0,40257000.0,,1281000.0,12000.0,2505000.0,,-187187000.0,,173586000.0,221440000.0,167762000.0,219530000.0,13409000.0,167762000.0,167762000.0,53678000.0,221440000.0,1281000.0,40269000.0,0.0,-162000.0
2015,2313000.0,,9555000.0,-234000.0,,49778000.0,0.0,292783000.0,,540000.0,69000.0,,1383000.0,5000.0,2563000.0,,-161389000.0,,88676000.0,142940000.0,130998000.0,141017000.0,11868000.0,130998000.0,130998000.0,11942000.0,142940000.0,1383000.0,74000.0,0.0,-162000.0
"(2015, 'Q3')",5273000.0,14000.0,8893000.0,-7000.0,,66712000.0,0.0,287113000.0,,479000.0,,,305000.0,10000.0,1324000.0,,-141532000.0,,90754000.0,159588000.0,145736000.0,158804000.0,14166000.0,145412000.0,145412000.0,14176000.0,159588000.0,305000.0,10000.0,0.0,162000.0
"(2015, 'Q2')",2412000.0,48000.0,3491000.0,-27000.0,,76248000.0,0.0,271998000.0,,398000.0,,,305000.0,10000.0,2125000.0,,-122057000.0,,76541000.0,155665000.0,150076000.0,154962000.0,5903000.0,149752000.0,149752000.0,5913000.0,155665000.0,305000.0,10000.0,0.0,162000.0
"(2015, 'Q1')",4329000.0,74000.0,4512000.0,-8000.0,,27887000.0,,206146000.0,,404000.0,,0.0,360000.0,9000.0,2288000.0,,-111368000.0,,72446000.0,103459000.0,94931000.0,102695000.0,8841000.0,94609000.0,94609000.0,8850000.0,103459000.0,360000.0,9000.0,0.0,161000.0
2014,2021000.0,,4864000.0,-56000.0,,32780000.0,0.0,204969000.0,,210000.0,,,305000.0,32000.0,1562000.0,,-100673000.0,,76138000.0,110995000.0,104078000.0,110480000.0,6885000.0,104078000.0,104078000.0,6917000.0,110995000.0,305000.0,32000.0,0.0,-162000.0
"(2014, 'Q3')",3032000.0,57000.0,3490287.0,-51257.0,,49667984.0,,204048000.0,,204894.0,,,125000.0,34000.0,1445000.0,,-90303000.0,,68670000.0,120170000.0,113772743.0,119840000.0,6522000.0,113614000.0,113614000.0,6556000.0,120170000.0,125000.0,34000.0,,79000.0
"(2014, 'Q2')",1488184.0,113953.0,3277593.0,-8216.0,6369.0,95394102.0,,202536066.0,,181029.0,,,125345.0,29532.0,1691312.0,,-80954522.0,3939.0,28851842.0,126357583.0,121594690.0,126051209.0,4769716.0,121551966.0,121551966.0,4805617.0,126357583.0,125345.0,35901.0,,21362.0
"(2014, 'Q1')",2077302.0,119395.0,4042007.0,,7364.0,126319457.0,,201203586.0,,164204.0,,,125345.0,30434.0,1468165.0,0.0,-73336195.0,3911.0,5831843.0,134028409.0,127867391.0,133738860.0,6123220.0,127867391.0,127867391.0,6161018.0,134028409.0,125345.0,37798.0,,
2013,714000.0,135000.0,3187761.0,,,21215228.0,,0.0,,30366.0,,0.0,1204000.0,8000.0,740000.0,157827000.0,-127072000.0,,11341000.0,34665000.0,-127072000.0,33431000.0,3902000.0,-127072000.0,-127072000.0,3910000.0,34665000.0,1204000.0,8000.0,0.0,
