year,period,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin
2018,Q2,-0.041157,-77274621.5,-0.404698,1243057000.0,0.5832,-132060000.0,54785378.5,10709378.5,521222000.0,-93194000.0,21465000.0,-71729000.0,13502000.0,227942000.0,524724000.0,524523000.0,818004000.0,817803000.0,521222000.0,1539839000.0,5.7594,-0.1763,2079257880.0,2600479880.0,2.8805,,2.7234,,0.0,-0.0889,2.092,3.406,,,,44.1028,,-2.851931,-6.777681,-15.403714,-35.680331,-36.0,-0.990198,-0.055814,-0.096035,0.037384,-13.737826,-2.523536,-2.810503,-2.060632,-2.043478,1.010066,0.572412,-0.056746,0.425669,-0.375655,-0.479544,-0.48807,-0.460784,0.574331,0.438317,0.388967,0.905213,0.843923,1.118699,0.156077,0.4037,4.1846,2.2458,2.5204,8.9556,87.2254,162.5277,40.7565,208.9966,0.6291,2.3539,2.6333,1.133,1.1332,-0.23603,0.021184,-0.257214,-0.161819,-0.397849,-0.015242,-0.197011,-0.185998,0.0,-0.397849,0.0,0.0,0.023552,0.000131,0.531096,0.531227,0.0,0.0,0.468773,-5.7132,-3.6404,-5.7118,-5.3811,-3.4288,-5.3798,1.9187,,,,,,,,3.9429,2.7161,0.298552,0.687268,0.687005,-75841640.9,-0.397193,-0.546003
2018,Q1,-0.273684,-20279373.9,-0.110176,1317839000.0,0.5736,-55121000.0,34841626.1,8467626.1,507323000.0,-26449000.0,21582000.0,-4867000.0,22340000.0,243909000.0,553286000.0,553085000.0,816700000.0,816499000.0,507323000.0,1627216000.0,6.4717,-0.0954,2343240400.0,2850563400.0,2.891,,3.0365,,0.0,-0.040254,2.1631,3.6939,,,,31.2939,,-1.050118,-1.353162,-1.433932,-1.700685,-1.69697,-1.249567,-0.214056,-0.040148,-0.010717,0.949887,0.779233,0.652595,0.55921,0.566038,-1.800583,-0.61994,0.027778,0.446738,-0.026442,-0.138078,-0.143695,-0.15618,0.553262,0.342182,0.168241,0.584816,0.797929,1.362131,0.202071,0.3968,3.7576,2.2179,2.6708,7.2998,97.1366,164.5718,50.0012,211.7072,0.6008,2.3137,3.1516,1.0074,1.0076,-0.063194,0.01677,-0.079964,-0.048041,-0.111235,-0.010332,-0.057023,-0.061978,0.0,-0.111235,0.0,0.0,-1.4141,0.000124,0.501777,0.5019,0.0,0.0,0.4981,-24.9633,-15.5069,-24.9572,-11.8324,-7.3502,-11.8295,2.2585,,,,,,,,4.6404,3.2017,0.316072,0.716981,0.716721,-19878015.5,-0.107996,-0.195732
2017,Q4,-0.344101,-58373947.3,-0.313742,1282222000.0,0.6197,-150048000.0,91674052.7,6843052.7,450977000.0,-119805000.0,22685000.0,-97120000.0,22443000.0,194844000.0,562963000.0,559062000.0,819096000.0,815195000.0,450977000.0,1650341000.0,6.6612,-0.1887,4021981700.0,4472958700.0,4.8385,,4.7821,,0.0,-0.006104,3.4884,5.3183,64.5812,,,17.9447,31.3395,-2.175431,-3.018856,-2.456705,-3.009459,-3.12,-0.452993,2.287748,-0.104762,-0.080873,-4.180196,-16.650555,-5.142009,-21.511909,-25.5,-0.222876,-0.097413,-0.054331,0.449572,-0.521991,-0.622207,-0.643916,-0.350522,0.550428,0.328829,0.220819,1.071779,0.504241,1.079563,0.495759,0.4332,3.9622,2.2765,3.0482,7.3159,92.1211,160.3364,49.8913,202.5661,0.6447,2.3529,2.5401,0.9807,0.9854,-0.194417,0.012862,-0.207279,-0.133637,-0.328053,0.105158,-0.278923,-0.151835,0.0,-0.328053,0.0,0.0,1.758232,0.002364,0.493955,0.496319,0.0,0.0,0.503681,11.8262,6.5113,11.7699,-111.866,-61.5911,-111.3332,3.0389,,,,,,,,4.2677,2.978,0.231669,0.669361,0.664723,-17029222.3,-0.091527,-0.695147
2017,Q3,-0.287464,14093149.7,0.069621,1355889000.0,0.6706,-87475000.0,101568149.7,16990149.7,468511000.0,7655000.0,22884000.0,30539000.0,27466000.0,234170000.0,579550000.0,579550000.0,813891000.0,813891000.0,468511000.0,1701269000.0,7.0998,-0.7571,4148285340.0,4616796340.0,4.6748,,4.4194,56.731,0.0,0.017627,3.405,4.9185,18.5409,29.2165,47.4326,16.375,24.9815,-0.719145,-0.910529,-0.745182,-1.060469,-1.052632,-0.147236,2.549163,-0.060605,0.016511,-0.211531,-0.525418,1.626913,-2.1419,-2.0,0.565066,0.750453,-0.013983,0.48394,0.150864,0.04655,0.037816,-0.014311,0.51606,0.263506,0.060515,0.43739,1.495612,-0.253037,-0.495612,0.4676,4.1548,2.3188,3.6543,7.5992,87.8496,157.4077,48.0315,197.2257,0.6492,2.3653,-0.5985,0.9172,0.9172,0.046691,0.030839,0.015852,0.010291,0.056982,0.132042,0.017682,-0.006692,0.0,0.056982,0.0,0.273515,1.848722,0.0,0.478402,0.478402,0.0,0.0,0.521598,3.2686,1.8815,3.2686,8.3618,4.8134,8.3618,3.1869,,,,,,,,4.1614,2.9141,0.249474,0.617426,0.617426,11939200.0,0.05898,-0.009569
2017,Q2,-0.290645,5364909.3,0.02694,1375117000.0,0.728,-52659000.0,58023909.3,2827909.3,489845000.0,16130000.0,22602000.0,38732000.0,22930000.0,252288000.0,575030000.0,575030000.0,812587000.0,812587000.0,489845000.0,1697859000.0,7.0712,-0.9568,4199006760.0,4688851760.0,4.7432,,4.1154,33.8826,0.0,0.029514,3.4098,4.5955,14.3301,19.8745,31.4659,16.129,23.2498,-0.661809,-0.822831,-0.924789,-0.959076,-0.96,0.197549,3.847927,-0.036882,-0.21419,-0.601153,-0.784623,-0.885203,-0.938163,-0.939394,-0.743694,0.30888,0.001571,0.516064,0.194496,0.071678,0.080998,0.01274,0.483936,0.271071,0.079723,0.444386,0.375852,0.418475,0.624148,0.5217,5.3337,2.3236,4.3174,9.4256,68.4331,157.0837,38.7243,186.7924,0.6849,2.3512,0.9839,0.9179,0.9179,0.019614,0.004964,0.01465,0.010033,0.029647,0.143903,0.042258,0.006646,0.0,0.029647,0.0,0.363114,1.414915,0.0,0.478595,0.478595,0.0,0.0,0.521405,2.4834,1.4971,2.4834,5.4531,3.2872,5.4531,3.4054,,,,,,,,5.4624,3.8828,0.247263,0.563577,0.563577,12185600.0,0.061191,0.033896
2017,Q1,-0.055626,46733952.0,0.184413,1372960000.0,0.8033,2403000.0,44330952.0,5706952.0,502548000.0,74892000.0,22218000.0,97110000.0,22331000.0,252371000.0,561106000.0,561106000.0,811283000.0,811283000.0,502548000.0,1681695000.0,6.982,-1.2656,3001957280.0,3504505280.0,3.4489,,2.7243,16.3698,0.0,0.061088,2.5525,3.1804,8.6961,11.2745,16.4145,12.2811,16.6013,-0.091317,-0.040953,-0.151884,-0.020508,-0.029412,13.088258,-0.589867,0.001753,-0.106629,0.17531,0.262019,0.166232,0.26412,0.32,0.754734,1.622718,-0.04141,0.587045,0.383198,0.293635,0.295525,0.161893,0.412955,0.187763,0.044554,0.29341,0.628035,0.872269,0.371965,0.5678,5.43,2.4334,5.0211,9.1512,67.2196,149.9976,39.8855,177.3318,0.785,2.5254,2.2029,0.9321,0.9321,0.148137,0.00946,0.138676,0.108859,0.256995,0.153889,0.167789,0.091918,0.0,0.256995,0.0,0.245387,5.668488,0.0,0.48242,0.48242,0.0,0.0,0.51758,2.0131,1.247,2.0131,3.7999,2.3538,3.7999,2.8064,,,,,,,,4.2092,3.1023,0.229029,0.509209,0.509209,46740860.4,0.18444,0.257778
2016,Q4,0.01318,40072588.4,0.141266,1432270000.0,0.8113,111262000.0,-71189411.6,7617588.4,613086000.0,59343000.0,23282000.0,82625000.0,32020000.0,313372000.0,515250000.0,510256000.0,814973000.0,809979000.0,613086000.0,1634157000.0,6.5117,-1.7803,2746235830.0,3359321830.0,3.3524,,2.4589,14.9055,0.0,0.067089,2.3455,3.0079,8.1387,10.6973,15.101,20.0247,30.211,-0.038585,-0.043796,-0.062457,-0.010066,0.0,0.583745,-1.635171,0.084225,-0.001507,-0.240132,-0.3064,-0.275449,-0.32257,-0.342105,0.211507,-0.085813,-0.007686,0.596664,0.291275,0.214322,0.2092,0.114412,0.403336,0.166992,0.048077,0.382343,0.659132,0.829736,0.340868,0.5562,5.1494,2.458,5.3435,8.3858,70.8819,148.4954,43.5261,175.8512,0.911,2.7876,2.313,0.9888,0.9949,0.114607,0.011607,0.102999,0.093833,0.20844,0.080773,0.116348,0.063632,0.0,0.20844,0.0,0.244243,2.252904,0.003056,0.495656,0.498712,0.0,0.0,0.501288,1.9745,1.4853,1.9624,3.6635,2.756,3.6411,2.629,,,,,,,,3.9065,2.7628,0.280587,0.461345,0.456874,60610482.0,0.213668,0.17358
2016,Q3,0.106285,55306760.1,0.194677,1443364000.0,0.8049,120870000.0,-65563239.9,7397760.1,633368000.0,85558000.0,23178000.0,108736000.0,19158000.0,313510000.0,488703000.0,488703000.0,808675000.0,808675000.0,633368000.0,1618671000.0,6.4115,-2.2532,3443864840.0,4077232840.0,4.2517,,3.0938,18.6586,0.0,0.053595,2.8248,3.6628,9.7993,12.872,18.1066,28.8817,39.0879,0.017518,-0.012796,-0.059784,-0.001209,-0.025641,-0.161942,-2.104456,0.091395,0.011972,-0.050564,-0.060246,-0.224656,-0.227187,-0.24,1.197844,-2.217972,0.010918,0.59919,0.382745,0.30563,0.30116,0.168637,0.40081,0.165698,0.037375,0.29356,0.636969,0.8791,0.363031,0.5481,5.5392,2.4398,5.6581,7.6805,65.8941,149.6042,47.523,167.9753,0.9834,2.913,2.5608,0.9984,0.9984,0.1567,0.010789,0.145911,0.14349,0.30019,0.075426,0.165053,0.092423,0.0,0.30019,0.0,0.135448,3.108049,0.0,0.499592,0.499592,0.0,0.0,0.500408,1.9436,1.5223,1.9436,3.5912,2.8127,3.5912,3.0252,,,,,,,,4.1429,2.8181,0.281641,0.439026,0.439026,61187896.5,0.215378,0.264749
2016,Q2,0.27075,71331914.3,0.254091,1427776000.0,0.7858,91706000.0,-20374085.700000003,9338914.3,649466000.0,91043000.0,23484000.0,114527000.0,13842000.0,297376000.0,455150000.0,455150000.0,807370000.0,807370000.0,649466000.0,1585680000.0,6.1808,-2.7106,3586945140.0,4236411140.0,4.6086,,3.3033,19.4276,0.0,0.051473,2.9671,3.9014,10.2279,13.3279,18.5045,27.7477,30.8701,0.290649,0.431651,0.671658,0.907008,0.851852,-0.800476,0.950527,0.068639,0.04616,0.071658,0.165873,0.294514,0.480041,0.470588,2.015248,-1.188493,0.041749,0.611871,0.407956,0.329023,0.324303,0.220825,0.388129,0.19225,0.031589,0.282848,0.772258,0.881726,0.227742,0.5512,6.467,2.4028,5.7918,8.8138,56.4407,151.9032,41.4124,166.9316,1.103,2.9977,2.6431,1.0373,1.0373,0.199654,0.012885,0.186769,0.206002,0.405656,0.099306,0.178769,0.121727,0.0,0.405656,0.0,0.0,1.957232,0.0,0.509163,0.509163,0.0,0.0,0.490837,1.9492,1.568,1.9492,3.5266,2.8368,3.5266,3.1098,,,,,,,,4.2793,2.6138,0.273862,0.419161,0.419161,71436941.4,0.254465,0.285947
2016,Q1,0.18018,55103256.5,0.205343,1370557000.0,0.7344,-52986000.0,108089256.5,13217256.5,703970000.0,78090000.0,28779000.0,106869000.0,9918000.0,232405000.0,378304000.0,335447000.0,849999000.0,807142000.0,703970000.0,1516586000.0,5.3063,-3.721,2955862130.0,3659832130.0,4.4343,,2.8808,19.0521,0.0,0.052488,2.6703,3.5669,9.4226,12.6023,18.3571,14.0027,14.5027,0.08371,0.087483,0.168624,0.115829,0.096774,-0.801507,1.10443,-0.037221,-0.041539,0.243516,0.258278,0.289202,0.277596,0.36,-0.80274,-0.035599,0.037508,0.607486,0.398249,0.326365,0.291004,0.156089,0.392514,0.18292,0.035324,0.281121,0.629183,0.852504,0.370817,0.5355,5.6548,2.3345,5.6649,7.6454,64.5468,156.3518,47.7411,173.1576,1.52,3.4563,2.9465,1.2109,1.2752,0.150812,0.015685,0.135127,0.205395,0.356207,0.180634,0.155829,0.083584,0.0,0.356207,0.0,0.0,0.905929,0.028259,0.53221,0.560469,0.0,0.0,0.439531,2.1884,1.8124,2.0781,4.2635,3.531,4.0485,2.5673,,,,,,,,2.724,1.6348,0.226506,0.368701,0.326932,55326616.7,0.206176,0.248082
2015,Q4,0.380176,42742146.9,0.152663,1321008000.0,0.7266,-69337000.0,112079146.9,9957146.9,699443000.0,62061000.0,23880000.0,85941000.0,8765000.0,182295000.0,534502000.0,476756000.0,1051779000.0,994033000.0,699443000.0,1673344000.0,4.9424,-4.1995,4692180220.0,5391623220.0,7.549,,4.7633,31.1157,0.0,0.032138,4.0814,5.4733,14.1827,18.976,28.1744,18.1141,20.6811,0.078753,0.319885,0.623887,0.823516,-0.038462,0.681706,1.108791,-0.04987,0.090249,-0.195791,-0.283914,-0.273383,-0.316509,-0.358974,-0.358916,0.888047,-0.001124,0.623015,0.306957,0.230287,0.221665,0.117099,0.376985,0.185658,0.03716,0.392729,0.662926,0.796877,0.337074,0.5005,5.826,2.4278,6.0843,8.3368,62.6503,150.3445,43.7815,169.2132,1.7727,4.0255,3.2079,1.5992,1.6921,0.11093,0.011488,0.099442,0.176281,0.287211,0.192305,0.110941,0.058607,0.0,0.287211,0.0,0.0,5.196691,0.034509,0.59404,0.628549,0.0,0.0,0.371451,2.7667,1.8399,2.6148,5.4962,3.655,5.1944,2.9673,,,,,,,,3.0605,2.1732,0.185057,0.5426,0.483979,62964701.2,0.224892,0.17664
2015,Q3,1.011003,58823491.0,0.229063,1322494000.0,0.6864,-539000.0,59362491.0,10856491.0,737992000.0,86667000.0,20197000.0,106864000.0,5941000.0,199384000.0,519486000.0,461100000.0,1082486000.0,1024100000.0,762255000.0,1666988000.0,4.6429,-4.8614,3588522955.0,4350777955.0,6.1395,,3.9523,26.3878,0.0,0.037896,3.2898,4.7918,11.6368,16.1686,24.7797,15.5839,24.7039,6.20302,7.965121,10.613343,4.889321,4.25,9.998227,1.055296,-0.000407,0.162416,0.204291,0.362839,0.378524,0.475544,0.444444,-0.476739,1.144147,-0.010161,0.634779,0.416135,0.353453,0.337487,0.186787,0.365221,0.175354,0.04065,0.281327,0.648071,0.854016,0.351929,0.4572,6.8039,2.4746,5.7319,7.9408,53.6456,147.5011,45.9649,155.1818,1.9596,4.4435,3.7948,1.7521,1.852,0.15723,0.012396,0.144834,0.283811,0.441042,0.133143,0.154292,0.085395,0.0,0.441042,0.0,0.0,11.959266,0.035025,0.614342,0.649366,0.0,0.0,0.350634,2.8953,2.0388,2.7391,6.1653,4.3414,5.8327,2.3492,,,,,,,,2.9395,1.9307,0.219597,0.57215,0.507845,58972547.4,0.229643,0.288219
2015,Q2,0.650233,42671349.5,0.193153,1336070000.0,0.7024,454491000.0,-411819650.5,10163349.5,800124000.0,63593000.0,25143000.0,88736000.0,8498000.0,204186000.0,466908000.0,408033000.0,1085588000.0,1026713000.0,822736000.0,1621534000.0,4.2563,-5.3636,5497623540.0,6320359540.0,10.2578,,7.0586,72.6315,0.0,0.013768,4.7306,8.115,22.4243,37.1834,55.8309,31.5642,,2.112998,8.539904,95.449059,26.882166,28.0,64.958078,0.33543,0.515542,-0.028402,-0.100168,-0.114402,-0.095031,-0.133998,-0.129032,1.999669,0.602123,-0.061447,0.581238,0.401666,0.299212,0.287855,0.147148,0.418762,0.15937,0.047927,0.282025,0.645538,0.79188,0.354462,0.4799,6.0007,2.7369,4.9498,8.3032,60.826,133.3645,43.9591,150.2315,1.7039,3.958,3.1343,1.9157,2.0256,0.135673,0.014545,0.121128,0.206395,0.342068,-0.30779,0.138129,0.07061,0.0,0.342068,0.0,0.0,15.97823,0.036308,0.633174,0.669482,0.0,0.0,0.330518,3.8516,2.919,3.6427,9.5895,7.2676,9.0695,3.0147,,,,,,,,3.0506,1.9778,0.262163,0.599482,0.52389,42816595.5,0.19381,0.227947
